[ 2014-10-31T11:34:19+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009131s ]
[ 2014-10-31T11:34:19+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2014-10-31T11:34:19+08:00 ] /admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000604s ]
[ 2014-10-31T11:34:19+08:00 ] /admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000609s ]
[ 2014-10-31T11:34:19+08:00 ] /admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000446s ]
[ 2014-10-31T11:34:19+08:00 ] /admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000638s ]
[ 2014-10-31T11:34:19+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002463s ]
[ 2014-10-31T11:34:19+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2014-10-31T11:34:19+08:00 ] /admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000963s ]
[ 2014-10-31T11:34:19+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001046s ]
[ 2014-10-31T11:34:19+08:00 ] /admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2014-10-31T11:34:19+08:00 ] /admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001241s ]
