[ 2014-02-18T14:05:33+08:00 ] /admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015625s ]
[ 2014-02-18T14:05:33+08:00 ] /admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
[ 2014-02-18T14:05:33+08:00 ] /admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:33+08:00 ] /admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:33+08:00 ] /admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:33+08:00 ] /admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:33+08:00 ] /admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:05:33+08:00 ] /admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2014-02-18T14:05:33+08:00 ] /admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:33+08:00 ] /admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | INFO: Tag[ route_check ] --START--
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | INFO: Tag[ app_begin ] --START--
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | NOTIC: [8] Undefined index: id ArticleAction.class.php 第 13 行.
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | INFO: Tag[ view_template ] --START--
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | INFO: Tag[ view_parse ] --START--
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | NOTIC: [8] Undefined variable: username 6a0fa1355e20b485f823227ab394fc93.php 第 34 行.
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | NOTIC: [8] Undefined variable: username 6a0fa1355e20b485f823227ab394fc93.php 第 34 行.
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | NOTIC: [8] Undefined variable: article_item 6a0fa1355e20b485f823227ab394fc93.php 第 101 行.
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | NOTIC: [8] Undefined variable: article_item 6a0fa1355e20b485f823227ab394fc93.php 第 108 行.
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | NOTIC: [8] Undefined variable: article_item 6a0fa1355e20b485f823227ab394fc93.php 第 114 行.
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | INFO: Run ParseTemplate Behavior [ RunTime:0.015625s ]
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015625s ]
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | INFO: Tag[ view_filter ] --START--
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | INFO: Tag[ view_end ] --START--
[ 2014-02-18T14:05:39+08:00 ] /admin.php/Article/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
